"item","Frequency"
"i don t know",1218
"can t wait to",1167
"i m going to",1141
"thanks for the follow",906
"the end of the",882
"i don t think",854
"don t want to",764
"at the end of",755
"for the first time",747
"the rest of the",745
"i can t wait",584
"if you don t",565
"at the same time",549
"is going to be",531
"i don t have",527
"thanks for the rt",510
"is one of the",482
"thank you for the",469
"i don t want",468
"can t wait for",454
"when it comes to",447
"going to be a",440
"t wait to see",437
"it s going to",435
"in the middle of",426
"one of the most",424
"i think it s",423
"s going to be",420
"don t have to",398
"you don t have",395
"in the u s",394
"don t know what",392
"i m not sure",384
"thank you so much",371
"if you want to",363
"to be able to",359
"but i don t",351
"one of the best",348
"we re going to",341
"i am going to",339
"i d like to",325
"it s been a",315
"i don t like",309
"in the united states",302
"and i don t",299
"i feel like i",299
"don t forget to",295
"it s hard to",294
"i wish i could",280
"the top of the",280
"you re going to",279
"don t have a",274
"hope to see you",271
"i can t believe",268
"i was going to",263
"it s time to",263
"one of my favorite",262
"i didn t know",260
"for the rest of",258
"what do you think",258
"the middle of the",252
"by the end of",251
"a lot of people",249
"didn t want to",249
"that s what i",248
"happy mother s day",246
"don t know how",245
"i would like to",242
"i m trying to",238
"i don t even",237
"to go to the",237
"i think i m",235
"have a great weekend",233
"was one of the",228
"in front of the",226
"don t know if",225
"i want to be",225
"i would love to",224
"have a great day",223
"i d love to",220
"are you going to",219
"said in a statement",219
"thanks so much for",218
"i just want to",214
"the first time in",214
"have a lot of",212
"as well as the",211
"you don t want",210
"at the university of",206
"i don t care",206
"a bit of a",204
"the bottom of the",204
"i thought it was",203
"a member of the",202
"don t think i",202
"you don t know",201
"on the other hand",198
"will be able to",194
"but i m not",193
"i have no idea",192
"going to have to",191
"on my way to",191
"i m not a",190
"let me know if",189
"had a great time",188
"i was able to",188
"i m not going",187
"what s going on",187
"i haven t been",185
"i look forward to",182
"as much as i",179
"for a long time",179
"but i can t",178
"thanks for the mention",178
"the best way to",178
"and i can t",177
"i ll have to",176
"it s a good",176
"it s not a",176
"as part of the",174
"if you haven t",174
"a little bit of",173
"we don t have",173
"i didn t have",172
"that s why i",172
"the back of the",172
"that i don t",171
"we are going to",168
"i know it s",167
"i m pretty sure",166
"thanks for the ff",165
"hope you have a",164
"thank you for your",164
"are going to be",163
"looking forward to the",163
"s a lot of",163
"do you have a",161
"it s a great",161
"was going to be",160
"m not going to",159
"nothing to do with",159
"for the shout out",156
"t want to be",156
"and i m not",155
"i don t get",155
"i just don t",154
"it s time for",153
"to get out of",153
"so much for the",152
"don t even know",149
"don t know why",149
"i m about to",149
"i really don t",149
"thanks for the shout",148
"to go back to",148
"looking forward to it",147
"to be in the",147
"if you can t",146
"as well as a",145
"at the top of",145
"on the way to",145
"if you have a",144
"i need to get",143
"as soon as i",142
"i have to say",142
"if i don t",142
"a few years ago",141
"be a part of",140
"i want to go",140
"i won t be",140
"is one of my",140
"to the u s",139
"you so much for",139
"as a result of",138
"in the first place",138
"there are so many",138
"turned out to be",137
"if you re not",136
"trying to figure out",136
"i ll be there",135
"in the first round",135
"looking forward to seeing",135
"the beginning of the",135
"there s a lot",135
"end of the day",134
"i m so excited",134
"i wish i had",134
"this is one of",134
"for the most part",133
"i didn t want",133
"in the second half",133
"7 30 p m",132
"i know i m",132
"i m looking forward",132
"on the other side",132
"don t have the",131
"don t think it",131
"figure out how to",131
"m looking forward to",131
"the first time i",131
"it s all about",130
"feel like i m",129
"of the u s",129
"i don t see",128
"it was a great",128
"this is going to",128
"what are you doing",128
"did you know that",127
"i had no idea",127
"a lot of the",126
"me know if you",126
"to do with the",126
"as part of a",125
"hope all is well",125
"t wait for the",125
"that awkward moment when",125
"the first time since",125
"i just can t",124
"i wish i was",124
"you are going to",124
"at the time of",123
"but it s not",123
"i don t understand",123
"i m in the",123
"most of the time",123
"to get back to",123
"and i didn t",122
"i didn t even",122
"in the form of",122
"i didn t get",121
"it would be a",121
"a few weeks ago",120
"what s your favorite",120
"i can t even",119
"m going to be",119
"that s a good",119
"a great way to",118
"a lot of fun",118
"are a lot of",118
"it s one of",118
"the fact that the",118
"you have a great",118
"a lot of time",117
"he s going to",117
"hope you had a",117
"i don t need",117
"s one of the",117
"so i don t",117
"the fact that i",117
"there are a lot",117
"wait to see you",117
"of the united states",116
"this time of year",116
"be one of the",115
"in addition to the",114
"it s just a",114
"to come up with",114
"to get rid of",114
"would you like to",114
"in the first half",113
"st patrick s day",113
"the start of the",113
"at 7 p m",112
"don t need to",112
"of the world s",112
"this is the first",112
"and one of the",111
"as one of the",111
"in the back of",111
"in the midst of",111
"it s gonna be",111
"they don t have",111
"they re going to",111
"want to go to",111
"executive director of the",110
"i want to see",110
"it was a good",110
"you ve got to",110
"you want to be",110
"but i didn t",109
"i don t wanna",109
"i think that s",109
"in the fourth quarter",109
"can i get a",108
"contributed to this report",108
"if you re a",108
"t be able to",108
"the other side of",108
"to take care of",108
"a chance to win",107
"didn t have to",107
"do you want to",107
"find a way to",107
"i really want to",107
"i want to do",107
"it s kind of",107
"know what to do",107
"re going to be",107
"if you have any",106
"in new york city",106
"it s not the",106
"one of the first",106
"to be one of",106
"i don t feel",105
"to figure out how",105
"a spokesman for the",104
"in the case of",104
"t wait to get",104
"the name of the",104
"the rest of my",104
"we d love to",104
"i didn t think",103
"don t have any",102
"i ve ever seen",102
"it will be a",102
"some of the best",102
"to be part of",102
"when i was a",102
"a part of the",101
"at the beginning of",101
"but it s a",101
"i just wanted to",101
"i m so glad",101
"thanks for following me",101
"the front of the",101
"you don t like",101
"you have to do",101
"you know what i",101
"i ll be in",100
"the only way to",100
"the rest of us",100
"a couple of weeks",99
"end of the year",99
"had a lot of",99
"keep up the good",99
"of the city s",99
"said i don t",99
"thought it would be",99
"for a couple of",98
"i don t really",98
"mother s day to",98
"t have to be",98
"thank you for following",98
"i think i ll",97
"i ve got a",97
"it has been a",97
"it s easy to",97
"it would have been",97
"thank you to all",97
"to make sure that",97
"you would like to",97
"can t believe i",96
"for those of you",96
"in a way that",96
"it doesn t matter",96
"on top of the",96
"one of the few",96
"t know how to",96
"the side of the",96
"to be a part",96
"you for the follow",96
"and it s not",95
"because i don t",95
"don t get it",95
"i m sure you",95
"is a lot of",95
"it was the first",95
"should be able to",95
"to get to the",95
"we look forward to",95
"i haven t seen",94
"let me know what",94
"t know what to",94
"thanks for the retweet",94
"thanks for the support",94
"the united states and",94
"there will be a",94
"u s department of",94
"you d like to",94
"he said it s",93
"i can t help",93
"i don t remember",93
"ll be able to",93
"nice to meet you",93
"not going to be",93
"out of the way",93
"re not going to",93
"you have to be",93
"at a time when",92
"don t know about",92
"from time to time",92
"let us know if",92
"re going to have",92
"thanks for all the",92
"the only thing that",92
"why don t you",92
"would love to see",92
"as long as you",91
"as you can see",91
"but i think it",91
"i can t get",91
"i thought i was",91
"in a long time",91
"in the first quarter",91
"is part of the",91
"of the state s",91
"the end of this",91
"up the good work",91
"you don t need",91
"going to be the",90
"to be a good",90
"what is your favorite",90
"a few of the",89
"come up with a",89
"i am so excited",89
"in the way of",89
"on the side of",89
"the new york times",89
"was supposed to be",89
"all of a sudden",88
"all over the place",88
"and it s a",88
"great to see you",88
"i m glad i",88
"i m ready to",88
"i ve never been",88
"i want you to",88
"if you would like",88
"in an effort to",88
"in and out of",88
"the size of the",88
"in front of me",87
"in the face of",87
"in the process of",87
"love you so much",87
"not be able to",87
"thanks to everyone who",87
"and a lot of",86
"can t wait until",86
"doesn t want to",86
"forward to seeing you",86
"if they don t",86
"in front of a",86
"in one of the",86
"in the name of",86
"is expected to be",86
"is one of those",86
"that i can t",86
"a big fan of",85
"at the bottom of",85
"happy mothers day to",85
"i m working on",85
"i really need to",85
"i think it is",85
"i thought i would",85
"i was a little",85
"in the third quarter",85
"thank you very much",85
"that i didn t",85
"the first day of",85
"the only one who",85
"the time of the",85
"this is not a",85
"we don t want",85
"can t help but",84
"get out of the",84
"i m tired of",84
"if you d like",84
"makes me want to",84
"thank you for all",84
"the u s and",84
"to learn how to",84
"you ll have to",84
"don t feel like",83
"for more than a",83
"for the follow i",83
"have to go to",83
"i m glad you",83
"it s nice to",83
"it s not just",83
"to be on the",83
"we can t wait",83
"didn t have a",82
"had a chance to",82
"have no idea what",82
"i have to go",82
"i m in a",82
"may or may not",82
"think it s a",82
"with a lot of",82
"but it wasn t",81
"in the wake of",81
"we don t know",81
"all over the world",80
"and the rest of",80
"be able to get",80
"for a few days",80
"going to have a",80
"haven t been on",80
"i can t find",80
"i m not the",80
"i m on the",80
"i went to the",80
"it s good to",80
"over the course of",80
"s a good thing",80
"what s up with",80
"11 30 a m",79
"but that s not",79
"can t believe it",79
"i love you too",79
"i miss you too",79
"i thought i d",79
"if i had a",79
"it s a little",79
"other side of the",79
"rest of the day",79
"some of the most",79
"the way to the",79
"was the first time",79
"6 30 p m",78
"a great deal of",78
"and i have to",78
"day to all the",78
"for a chance to",78
"i love you so",78
"i m so happy",78
"if you are a",78
"if you re in",78
"in an attempt to",78
"let me know when",78
"the center of the",78
"the only thing i",78
"the u s department",78
"those of you who",78
"a couple of years",77
"a lot of money",77
"don t get me",77
"don t think that",77
"i can t stand",77
"i have a lot",77
"i think i have",77
"it won t be",77
"thank you thank you",77
"a couple of days",76
"back in the day",76
"end of the month",76
"have a good day",76
"i am not sure",76
"i ll let you",76
"i think it was",76
"i thought it would",76
"in the history of",76
"it was time to",76
"know what you think",76
"looking forward to a",76
"on the back of",76
"one of the things",76
"s not going to",76
"take a look at",76
"to be a great",76
"to one of the",76
"want to be a",76
"we ve got to",76
"with the help of",76
"won t be able",76
"you know it s",76
"a lot of work",75
"and i have a",75
"be sure to check",75
"here are a few",75
"i don t believe",75
"i have a feeling",75
"i ve never seen",75
"it s a beautiful",75
"it s important to",75
"me i don t",75
"new year s eve",75
"of the nation s",75
"once in a while",75
"said he didn t",75
"to check out the",75
"a lot of things",74
"all the way to",74
"for the sake of",74
"i am not a",74
"i didn t see",74
"i hope you are",74
"i ll be back",74
"i think he s",74
"i was trying to",74
"in the st louis",74
"it s not that",74
"just got back from",74
"ll let you know",74
"out to be a",74
"said in an interview",74
"t know if i",74
"thanks for stopping by",74
"that i m not",74
"you can do it",74
"and it was a",73
"at the start of",73
"but that doesn t",73
"go back to the",73
"how much i love",73
"i feel like a",73
"i hope you have",73
"i m talking about",73
"i need to go",73
"one of the greatest",73
"the last time i",73
"to all of you",73
"to the fact that",73
"you for the rt",73
"and that s what",72
"d like to see",72
"i am trying to",72
"i have to admit",72
"i ll try to",72
"i m starting to",72
"i m sure i",72
"i was in the",72
"i wouldn t have",72
"if you re going",72
"it was great to",72
"said it s a",72
"the last couple of",72
"to all of the",72
"to figure out what",72
"we ve got a",72
"would be able to",72
"you just have to",72
"you please follow me",72
"do you have any",71
"i don t mind",71
"i need to do",71
"is it just me",71
"it s like a",71
"looking forward to your",71
"might be able to",71
"player of the year",71
"s o to my",71
"so proud of you",71
"t think it s",71
"the past two years",71
"there are a few",71
"what is going on",71
"what to do with",71
"you can see the",71
"you had a great",71
"could not be reached",70
"i just need to",70
"i love it when",70
