"item","Frequency"
"i don t",6283
"one of the",3748
"thanks for the",3442
"a lot of",3391
"it s a",3007
"i can t",2997
"i m not",2545
"can t wait",2276
"going to be",2115
"i didn t",2068
"you don t",2040
"to be a",2021
"don t know",2014
"it s not",1908
"i want to",1855
"i ve been",1689
"out of the",1689
"the u s",1686
"the end of",1671
"it was a",1630
"don t have",1596
"looking forward to",1564
"some of the",1478
"thank you for",1455
"as well as",1441
"i have a",1422
"part of the",1413
"be able to",1396
"i m going",1389
"i ll be",1323
"the rest of",1294
"i think i",1278
"and i m",1272
"i have to",1267
"i need to",1258
"if you re",1213
"is going to",1211
"the first time",1194
"t wait to",1193
"t want to",1165
"i love you",1163
"for the follow",1143
"i m a",1141
"m going to",1141
"but it s",1134
"don t want",1132
"a couple of",1123
"to go to",1121
"you can t",1108
"i m so",1100
"there s a",1094
"don t think",1089
"it s the",1076
"end of the",1072
"and it s",1070
"but i m",1065
"you have to",1043
"this is a",1039
"in the world",1017
"one of my",1015
"you want to",1010
"for the first",1002
"there is a",991
"it would be",966
"you have a",965
"to have a",950
"in the first",941
"at the end",931
"it s been",926
"i haven t",923
"is one of",922
"of the year",917
"according to the",914
"have a great",902
"all of the",901
"this is the",878
"the fact that",873
"that s what",872
"i had a",868
"that s a",860
"i think it",852
"of the day",850
"in front of",848
"most of the",848
"we don t",848
"it is a",847
"i had to",833
"to see you",832
"there is no",829
"i feel like",819
"i have been",812
"if you are",811
"the united states",804
"s going to",797
"they don t",784
"let me know",781
"rest of the",773
"i will be",772
"to be the",760
"to see the",749
"are going to",741
"to make a",741
"back to the",737
"want to be",737
"re going to",732
"to get a",732
"i know i",730
"it will be",724
"if you have",722
"i wish i",716
"i m just",715
"i wanted to",713
"i m in",704
"i m sure",703
"we need to",702
"in the past",698
"it doesn t",692
"that s the",687
"was going to",682
"as much as",679
"one of those",677
"t have to",677
"if you want",676
"what do you",675
"i hope you",673
"for the rt",663
"we have a",653
"it s just",651
"would like to",649
"at the time",647
"when i was",647
"it wasn t",645
"i am not",642
"have to be",639
"at the same",631
"a bit of",628
"think it s",626
"won t be",626
"30 p m",623
"it was the",623
"do you think",622
"go to the",621
"the same time",621
"not going to",619
"there s no",613
"so i can",612
"you need to",611
"in the middle",610
"to do with",610
"don t forget",607
"don t like",607
"to be in",602
"i love the",601
"to make it",600
"don t get",599
"a little bit",597
"i couldn t",596
"in order to",588
"would love to",587
"of the most",586
"all the time",584
"there was a",582
"a chance to",581
"as long as",574
"didn t know",574
"and that s",569
"that i m",567
"if you don",566
"i am so",565
"you re not",561
"more than a",556
"to get the",552
"will be a",551
"in the morning",550
"of the world",550
"the city s",548
"that s not",544
"wait to see",543
"he didn t",542
"look forward to",540
"had a great",539
"mother s day",537
"and it was",534
"that it s",534
"to make the",532
"didn t have",531
"thanks for following",531
"a great day",530
"to do it",530
"when you re",527
"you so much",527
"and i have",525
"of the best",523
"need to be",521
"a long time",520
"do you have",518
"the number of",518
"would have been",518
"that s why",517
"would be a",517
"in new york",516
"the state s",514
"d like to",512
"as part of",509
"because of the",509
"it s all",509
"you for the",509
"is the best",507
"the middle of",507
"i m still",506
"so i m",505
"i have no",503
"side of the",502
"i wasn t",501
"in the same",501
"to take a",497
"how are you",496
"that would be",491
"i am a",490
"so much for",490
"t know what",489
"thanks so much",489
"when it comes",489
"that i have",487
"i won t",486
"we have to",485
"is not a",483
"in the last",482
"up in the",482
"if you can",478
"it s time",478
"to make sure",478
"has been a",476
"it s going",475
"t wait for",471
"you re a",471
"how do you",470
"i ve got",469
"t have a",469
"for a while",468
"let s go",468
"but it was",467
"is in the",467
"i m gonna",466
"it s like",466
"be sure to",464
"can t believe",464
"i love it",464
"i was a",460
"it comes to",460
"i need a",459
"the university of",456
"the top of",455
"and i am",454
"said in a",454
"as soon as",453
"a way to",451
"wish i could",451
"a number of",449
"at a time",449
"what s the",449
"need to get",448
"what are you",448
"in the second",447
"i would have",446
"to get to",446
"up to the",446
"i think that",445
"looking for a",445
"now i m",445
"i ve never",442
"don t even",439
"he doesn t",439
"there will be",439
"have a good",438
"we ll be",436
"for me to",435
"going to the",435
"of the season",435
"trying to get",433
"for the next",432
"check it out",431
"top of the",431
"was one of",431
"have to do",430
"i wouldn t",430
"that i am",428
"he s a",427
